iter	Passed	Remaining
0	276	27609913788
1	392	19646343155
2	512	17076392584
3	629	15748210847
4	747	14946982769
5	867	14456381459
6	987	14100665272
7	1104	13805903098
8	1221	13577308259
9	1338	13386146064
10	1456	13241800522
11	1576	13134175810
12	1694	13031945308
13	1811	12939590590
14	1929	12863721794
15	2048	12801274863
16	2167	12751528330
17	2286	12703028255
18	2404	12655494893
19	2523	12616654746
20	2642	12581638026
21	2760	12549178183
22	2878	12513557299
23	2996	12486647996
24	3115	12460198252
25	3233	12436158573
26	3350	12409830274
27	3468	12386995220
28	3586	12366633116
29	3704	12347079241
30	3820	12325312255
31	3938	12306325534
32	4056	12292910124
33	4175	12281118491
34	4293	12267338015
35	4411	12253569496
36	4528	12240378919
37	4647	12230371611
38	4766	12221253434
39	4883	12209080454
40	5001	12198500880
41	5119	12189019018
42	5236	12178527716
43	5354	12169497527
44	5472	12160730875
45	5589	12151221599
46	5707	12144312439
47	5827	12139827551
48	5945	12134244353
49	6065	12130194182
50	6183	12124521564
51	6301	12118751166
52	6419	12112000717
53	6537	12106372493
54	6655	12100082075
55	6774	12096595247
56	6891	12089682914
57	7010	12086610925
58	7128	12082237998
59	7246	12076814557
60	7364	12073393622
61	7484	12071139616
62	7601	12065894959
63	7718	12060826389
64	7837	12057269395
65	7955	12054536931
66	8074	12051354130
67	8192	12047087512
68	8310	12043548368
69	8427	12039200598
70	8549	12041433698
71	8666	12037331395
72	8785	12034318008
73	8903	12031307805
74	9021	12028531511
75	9142	12028970190
76	9260	12026724792
77	9379	12025359765
78	9497	12021808080
79	9616	12020911128
80	9734	12018278762
81	9854	12017378096
82	9972	12015546495
83	10090	12012930170
84	10210	12012140296
85	10329	12010812400
86	10446	12007782531
87	10565	12006384171
88	10684	12005117657
89	10803	12004002820
90	10923	12003935048
91	11045	12005651332
92	11163	12003792903
93	11281	12001070445
94	11399	11999186113
95	11517	11996987166
96	11635	11995858921
97	11755	11995291592
98	11872	11991977525
99	11990	11990066386
100	12108	11988293151
101	12227	11988090164
102	12345	11986266295
103	12463	11984346894
104	12580	11981877567
105	12698	11979908849
106	12817	11978983189
107	12935	11977681729
108	13054	11976685484
109	13173	11975463722
110	13292	11974918394
111	13410	11974006856
112	13529	11972777106
113	13648	11972328887
114	13779	11982002559
115	13899	11982443944
116	14018	11981214309
117	14135	11979271429
118	14256	11980061931
119	14373	11978216750
120	14493	11978017176
121	14611	11976759541
122	14731	11976900849
123	14849	11975420575
124	14967	11974015246
125	15084	11971565072
126	15202	11970302157
127	15320	11968893808
128	15438	11967574523
129	15557	11966914863
130	15675	11965790603
131	15794	11965256004
132	15912	11964274397
133	16031	11963837136
134	16151	11964177163
135	16272	11965264873
136	16392	11965252633
137	16512	11965277810
138	16631	11965078213
139	16749	11964110281
140	16869	11963910533
141	16988	11964011823
142	17108	11963890068
143	17227	11963452497
144	17346	11962968451
145	17465	11962313946
146	17583	11961826443
147	17703	11961567394
148	17821	11960908581
149	17940	11960364276
150	18058	11959269390
151	18176	11958493296
152	18295	11957880574
153	18413	11956690855
154	18531	11955884779
155	18650	11955214951
156	18768	11954364579
157	18886	11953459555
158	19005	11953178041
159	19123	11951956972
160	19241	11951394763
161	19360	11951050649
162	19479	11950317782
163	19597	11949717555
164	19715	11948670805
165	19837	11950559534
166	19957	11950564127
167	20076	11950328125
168	20194	11949153039
169	20312	11948464888
170	20432	11948548314
171	20550	11947948393
172	20669	11947631570
173	20788	11947569890
174	20906	11946536128
175	21024	11945923952
176	21142	11945168583
177	21262	11945040932
178	21380	11944116046
179	21499	11943962828
180	21616	11943052078
181	21735	11942363112
182	21851	11940923617
183	21970	11940505289
184	22089	11940345971
185	22209	11940320379
186	22326	11939531948
187	22445	11938973253
188	22563	11938354415
189	22682	11937986569
190	22800	11937394140
191	22918	11936935822
192	23036	11936168800
193	23157	11937022183
194	23276	11936547453
195	23397	11937523833
196	23517	11937904976
197	23637	11938086335
198	23756	11937894850
199	23876	11937996439
200	23993	11937244259
201	24112	11936665703
202	24230	11936225878
203	24349	11935910722
204	24470	11936684812
205	24588	11936143924
206	24707	11936203877
207	24828	11936532621
208	24948	11937234591
209	25067	11937063620
210	25188	11937514563
211	25309	11938185576
212	25427	11937919757
213	25548	11938611718
214	25665	11937467354
215	25782	11936218880
216	25900	11935834776
217	26020	11935938992
218	26138	11935536650
219	26256	11934906122
220	26374	11934290151
221	26492	11933721221
222	26612	11933638936
223	26730	11933045541
224	26846	11931804517
225	26965	11931485069
226	27082	11930729511
227	27200	11930168678
228	27318	11929491615
229	27437	11929379103
230	27555	11928752584
231	27672	11927891377
232	27791	11927483805
233	27910	11927619873
234	28029	11927307154
235	28148	11927289658
236	28268	11927768681
237	28389	11928488691
238	28508	11928369215
239	28626	11927819663
240	28746	11927967585
241	28865	11927738055
242	28984	11927732472
243	29104	11928038458
244	29222	11927639190
245	29342	11927918372
246	29461	11927807619
247	29580	11927449347
248	29699	11927370434
249	29819	11927618232
250	29938	11927696259
251	30058	11928029299
252	30177	11927981045
253	30295	11927505916
254	30414	11927319120
255	30532	11926581289
256	30651	11926690965
257	30770	11926426612
258	30890	11926714855
259	31007	11926070982
260	31125	11925408232
261	31244	11925460843
262	31362	11924874172
263	31479	11924023385
264	31597	11923605013
265	31714	11922886742
266	31833	11922589173
267	31951	11922349988
268	32070	11922033425
269	32187	11921269303
270	32307	11921386610
271	32426	11921338254
272	32544	11921141129
273	32663	11920881709
274	32780	11920131865
275	32908	11923196684
276	33025	11922440744
277	33144	11922325498
278	33261	11921669851
279	33379	11921220428
280	33497	11920951718
281	33615	11920452577
282	33733	11919775814
283	33742	11881015508
284	33859	11880654689
285	33978	11880617811
286	34096	11880244308
287	34213	11879691244
288	34331	11879377516
289	34449	11879121124
290	34567	11878683809
291	34684	11878231898
292	34801	11877515696
293	34919	11877387333
294	35038	11877330567
295	35155	11876787968
296	35272	11876304282
297	35391	11876238191
298	35509	11876107622
299	35628	11876094670
300	35747	11876082575
301	35865	11875817628
302	35982	11875444712
303	36101	11875325017
304	36218	11874805601
305	36336	11874584241
306	36455	11874755917
307	36572	11874280044
308	36689	11873648700
309	36806	11873031543
310	36925	11873026837
311	37043	11872758396
312	37161	11872777360
313	37279	11872259973
314	37396	11871923249
315	37514	11871676271
316	37633	11871714645
317	37751	11871426904
318	37868	11871090569
319	37986	11870738610
320	38104	11870489231
321	38221	11870084506
322	38340	11869993257
323	38458	11869844866
324	38575	11869225781
325	38693	11869039722
326	38810	11868472354
327	38927	11868155770
328	39045	11867841826
329	39162	11867499446
330	39280	11867209296
331	39399	11867306560
332	39516	11866761430
333	39634	11866596114
334	39752	11866431623
335	39870	11866070097
336	39988	11865935704
337	40107	11866051791
338	40226	11866153178
339	40344	11865901539
340	40462	11865745758
341	40580	11865593198
342	40697	11865136419
343	40815	11865044754
344	40934	11864934713
345	41052	11864768046
346	41169	11864270203
347	41287	11864161213
348	41405	11863990499
349	41523	11863733552
350	41640	11863302188
351	41757	11862760237
352	41876	11863128342
353	41995	11863036260
354	42112	11862695287
355	42230	11862539204
356	42348	11862294301
357	42467	11862357021
358	42585	11862341011
359	42703	11861991642
360	42821	11861868551
361	42939	11861667051
362	43058	11861896469
363	43184	11863882700
364	43301	11863348379
365	43418	11862995606
366	43537	11862973420
367	43655	11862991475
368	43773	11862731151
369	43896	11863896359
370	44016	11864189230
371	44134	11864025744
372	44253	11864180333
373	44374	11864884945
374	44497	11865998377
375	44617	11866301264
376	44736	11866397512
377	44856	11866802235
378	44978	11867517130
379	45098	11867863367
380	45217	11868040301
381	45337	11868414582
382	45456	11868456384
383	45574	11868205144
384	45692	11868092564
385	45810	11868007871
386	45935	11869598446
387	46053	11869411424
388	46171	11869211650
389	46288	11868880581
390	46408	11869086834
391	46525	11868693919
392	46642	11868311172
393	46760	11868199856
394	46880	11868518548
395	46998	11868342006
396	47115	11867898501
397	47232	11867524559
398	47352	11867682394
399	47470	11867611383
400	47589	11867577020
401	47706	11867117106
402	47823	11866823434
403	47942	11866799288
404	48059	11866464037
405	48177	11866278335
406	48294	11865911510
407	48413	11865947040
408	48531	11865883205
409	48649	11865605905
410	48767	11865515226
411	48885	11865259369
412	49002	11865000262
413	49122	11865189001
414	49238	11864765581
415	49368	11867398318
416	49487	11867559965
417	49606	11867443569
418	49723	11867207118
419	49841	11867040580
420	49958	11866560663
421	50076	11866509995
422	50194	11866321707
423	50312	11866000684
424	50430	11865859998
425	50547	11865671994
426	50666	11865570911
427	50783	11865359239
428	50901	11865093459
429	51019	11864971849
430	51137	11864898337
431	51255	11864617289
432	51373	11864388201
433	51490	11864206788
434	51609	11864143476
435	51728	11864211972
436	51846	11864067029
437	51967	11864719947
438	52085	11864523692
439	52212	11866535837
440	52331	11866515468
441	52449	11866360035
442	52566	11866087160
443	52684	11865754941
444	52802	11865712828
445	52922	11865990665
446	53040	11865914508
447	53159	11865992631
448	53276	11865621869
449	53395	11865572654
450	53513	11865471868
451	53630	11865067718
452	53747	11864703574
453	53865	11864700615
454	53984	11864569001
455	54101	11864409111
456	54220	11864385691
457	54338	11864261476
458	54456	11864068282
459	54574	11864053823
460	54692	11863859137
461	54810	11863706210
462	54928	11863599973
463	55046	11863464242
464	55164	11863373904
465	55282	11863127713
466	55400	11863061949
467	55518	11862892810
468	55636	11862804950
469	55755	11862750813
470	55872	11862521295
471	55990	11862296671
472	56108	11862234469
473	56226	11862046401
474	56344	11862005219
475	56462	11861738227
476	56580	11861775816
477	56698	11861611154
478	56816	11861359914
479	56933	11861116380
480	57051	11860963593
481	57168	11860605036
482	57285	11860324317
483	57404	11860457448
484	57523	11860470019
485	57641	11860350133
486	57760	11860312817
487	57878	11860194183
488	57995	11860000260
489	58113	11859825774
490	58230	11859545103
491	58351	11860025253
492	58469	11859915886
493	58587	11859811240
494	58705	11859655840
495	58823	11859602572
496	58942	11859624041
497	59061	11859603174
498	59177	11859212768
499	59296	11859211454
500	59413	11858911441
501	59531	11858765875
502	59649	11858661990
503	59766	11858425519
504	59884	11858286292
505	60002	11858164493
506	60120	11857991921
507	60237	11857731405
508	60354	11857443229
509	60473	11857554988
510	60591	11857390046
511	60708	11857048062
512	60825	11856842198
513	60942	11856516571
514	61059	11856192086
515	61176	11855927160
516	61295	11855983464
517	61413	11855863554
518	61534	11856236214
519	61651	11856068253
520	61771	11856341147
521	61889	11856144707
522	62007	11856059226
523	62125	11855964081
524	62242	11855693584
525	62360	11855632313
526	62478	11855354651
527	62606	11857306474
528	62722	11856825443
529	62840	11856717677
530	62959	11856635713
531	63075	11856327584
532	63195	11856446464
533	63312	11856207191
534	63430	11856024362
535	63548	11855958229
536	63679	11858361630
537	63796	11857962909
538	63914	11857875164
539	64030	11857490575
540	64148	11857301956
541	64266	11857271857
542	64383	11856938603
543	64501	11856868681
544	64619	11856643471
545	64737	11856687532
546	64855	11856602708
547	64972	11856290929
548	65092	11856451660
549	65210	11856347232
550	65329	11856394081
551	65446	11856219602
552	65566	11856519964
553	65686	11856694884
554	65807	11857102561
555	65926	11857280848
556	66049	11858051634
557	66167	11857986102
558	66288	11858283017
559	66409	11858784477
560	66529	11858978069
561	66648	11859048596
562	66765	11858869567
563	66883	11858778134
