iter	Accuracy	Logloss
0	0.7058333333	0.6904632298
1	0.7058333333	0.6877638661
2	0.7058333333	0.6851445251
3	0.7058333333	0.6825089942
4	0.7064444444	0.6800160107
5	0.7064444444	0.6775350648
6	0.7064444444	0.6751871938
7	0.7064444444	0.6728571552
8	0.7064444444	0.6706004854
9	0.7064444444	0.6683243548
10	0.7064444444	0.6661355619
11	0.7064444444	0.6641161952
12	0.7064444444	0.6619620906
13	0.7064444444	0.6600012479
14	0.7064444444	0.6580406078
15	0.7064444444	0.6560417035
16	0.7064444444	0.6541273475
17	0.7064444444	0.6522358841
18	0.7064444444	0.6503825223
19	0.7064444444	0.6485443386
20	0.7064444444	0.6467750808
21	0.7064444444	0.6450000533
22	0.7064444444	0.6433336463
23	0.7064444444	0.6417111697
24	0.7064444444	0.6400777309
25	0.7064444444	0.6384805372
26	0.7064444444	0.6368747751
27	0.7065	0.6353873161
28	0.7061111111	0.633886284
29	0.7061111111	0.6323943229
30	0.7061111111	0.6310228449
31	0.7065	0.6296352788
32	0.7061111111	0.6282571343
33	0.7061111111	0.6269118452
34	0.7061111111	0.6255733092
35	0.7065	0.6243104371
36	0.7065	0.6230446437
37	0.7061111111	0.6218627215
38	0.7061111111	0.6206685655
39	0.7061111111	0.6195180624
40	0.7065	0.6183938854
41	0.7065	0.6172862844
42	0.7065	0.616220767
43	0.7065	0.6151543412
44	0.7061111111	0.6141373069
45	0.7065	0.6131286319
46	0.7065	0.6121165387
47	0.7065	0.6111238619
48	0.7061111111	0.6101810682
49	0.7061111111	0.609222825
50	0.7061111111	0.6083086585
51	0.7061111111	0.6074563022
52	0.7061111111	0.6066052252
53	0.7065	0.6057781395
54	0.7065	0.6049495097
55	0.7065	0.6041531358
56	0.7065	0.6033833667
57	0.7065	0.60258174
58	0.7065	0.6018302294
59	0.7065	0.6011058556
60	0.7065	0.6003545494
61	0.7065	0.599636968
62	0.7061111111	0.5989281103
63	0.7065	0.598235876
64	0.7065	0.5975377849
65	0.7065	0.5968652311
66	0.7061111111	0.5962039765
67	0.7061111111	0.5955772093
68	0.7065	0.5949566418
69	0.7065	0.5943297579
70	0.7065	0.5937733607
71	0.7065	0.5931924565
72	0.7064444444	0.5925976906
73	0.7064444444	0.5920469134
74	0.7064444444	0.5915031658
75	0.7064444444	0.5909497029
76	0.7064444444	0.5904329608
77	0.7064444444	0.5899122354
78	0.7064444444	0.5894267193
79	0.7064444444	0.5889278947
80	0.7064444444	0.5884343257
81	0.7064444444	0.5879444441
82	0.7064444444	0.5874698648
83	0.7064444444	0.5870066753
84	0.7064444444	0.5865592542
85	0.7064444444	0.5861251546
86	0.7064444444	0.5856925729
87	0.7064444444	0.5852762576
88	0.7064444444	0.5848913471
89	0.7064444444	0.5845012624
90	0.7064444444	0.5841303725
91	0.7064444444	0.5837554053
92	0.7064444444	0.5833650576
93	0.7064444444	0.5830290319
94	0.7064444444	0.5826725336
95	0.7064444444	0.5823228342
96	0.7064444444	0.5819689538
97	0.7064444444	0.5816337552
98	0.7064444444	0.5813096607
99	0.7064444444	0.5809818138
100	0.7064444444	0.5806867575
101	0.7064444444	0.5803573893
102	0.7064444444	0.5800645831
103	0.7064444444	0.5797545542
104	0.7064444444	0.579449139
105	0.7064444444	0.5791795723
106	0.7064444444	0.5789024051
107	0.7064444444	0.5786089463
108	0.7064444444	0.5783714709
109	0.7064444444	0.5781115276
110	0.7064444444	0.5778432732
111	0.7064444444	0.5776082585
112	0.7064444444	0.5773635435
113	0.7064444444	0.5771287745
114	0.7064444444	0.5768996929
